"PEILDATUM_LEERLINGEN";"PRIKDATUM_SCORES";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"GEMEENTENUMMER";"GEMEENTENAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"ONTHEFFING_REDEN_ND";"CET_AANTAL";"CET_GEM";"IEP_AANTAL";"IEP_GEM";"ROUTE8_AANTAL";"ROUTE8_GEM";"DIA_AANTAL";"DIA_GEM";"AMN_AANTAL";"AMN_GEM"
"20221001";"20230601";"00AP";"00";"WereldWijs";"2716PH";"ZOETERMEER";"637";"Zoetermeer";"Zuid-Holland";"Bo";"Gereformeerd vrijgemaakt";"41646";"0";"18";533,5;"0";0;"0";0;"0";0;"0";0
"20221001";"20230601";"00AR";"00";"BS ""De Maasparel""";"6107AW";"STEVENSWEERT";"1641";"Maasgouw";"Limburg";"Bo";"Rooms-Katholiek";"41797";"0";"20";537,45;"0";0;"0";0;"0";0;"0";0
"20221001";"20230601";"00AV";"00";"De Morgenster";"3201CN";"SPIJKENISSE";"1930";"Nissewaard";"Zuid-Holland";"Bo";"Gereformeerd vrijgemaakt";"41646";"0";"8";531,875;"0";0;"0";0;"0";0;"0";0
"20221001";"20230601";"00AZ";"00";"De Stapsteen";"2971AR";"BLESKENSGRAAF CA";"1978";"Molenlanden";"Zuid-Holland";"Bo";"Openbaar";"41638";"0";"0";0;"10";79,5;"0";0;"0";0;"0";0
"20221001";"20230601";"00BB";"00";"Obs Letterwies";"9944AR";"NIEUWOLDA";"1895";"Oldambt";"Groningen";"Bo";"Openbaar";"41613";"0";"9";526;"0";0;"0";0;"0";0;"0";0
"20221001";"20230601";"00BS";"00";"Geref Basisschool";"7711KP";"NIEUWLEUSEN";"148";"Dalfsen";"Overijssel";"Bo";"Gereformeerd vrijgemaakt";"41632";"0";"15";536,933333333333;"0";0;"0";0;"0";0;"0";0
"20221001";"20230601";"00BW";"00";"Jenaplanschool De Vlieger";"6131KJ";"SITTARD";"1883";"Sittard-Geleen";"Limburg";"Bo";"Algemeen bijzonder";"41516";"0";"<5";NA;"15";78,6;"0";0;"0";0;"0";0
"20221001";"20230601";"00BZ";"00";"Geref SBO Het Speelwerk";"8031HL";"ZWOLLE";"193";"Zwolle";"Overijssel";"Sbo";"Gereformeerd vrijgemaakt";"41632";"6";"0";0;"0";0;"12";129,75;"0";0;"0";0
"20221001";"20230601";"00CD";"00";"Basisschool De Lockaert";"5345JG";"OSS";"828";"Oss";"Noord-Brabant";"Bo";"Algemeen bijzonder";"41228";"0";"0";0;"0";0;"19";208,842105263158;"0";0;"0";0
"20221001";"20230601";"00CG";"00";"De Harlekijn";"6372AC";"LANDGRAAF";"882";"Landgraaf";"Limburg";"Bo";"Openbaar";"41516";"0";"55";536,236363636364;"0";0;"0";0;"0";0;"0";0
"20221001";"20230601";"00CS";"00";"Basisschool De Leilinde";"9671JA";"WINSCHOTEN";"1895";"Oldambt";"Groningen";"Bo";"Gereformeerd vrijgemaakt";"42607";"0";"0";0;"0";0;"0";0;"10";357,7;"0";0
"20221001";"20230601";"00CU";"00";"Basisschool Zilverlinde";"4707HS";"ROOSENDAAL";"1674";"Roosendaal";"Noord-Brabant";"Bo";"Antroposofisch";"41246";"<5";"0";0;"9";78,4444444444444;"0";0;"0";0;"0";0
"20221001";"20230601";"00CV";"00";"School Matthijsje";"8388NA";"OOSTERSTREEK";"98";"Weststellingwerf";"Friesland";"Bo";"Algemeen bijzonder";"20210";"0";"0";0;"8";78,875;"0";0;"0";0;"0";0
"20221001";"20230601";"00DA";"00";"Chr BS Betrouwen";"9243SJ";"BAKKEVEEN";"86";"Opsterland";"Friesland";"Bo";"Protestants-Christelijk";"84332";"0";"0";0;"0";0;"6";184;"0";0;"0";0
"20221001";"20230601";"00DD";"00";"Basissch Het Startnest";"1422LE";"UITHOORN";"451";"Uithoorn";"Noord-Holland";"Bo";"Rooms-Katholiek";"40581";"0";"0";0;"0";0;"25";191,48;"0";0;"0";0
"20221001";"20230601";"00DM";"00";"De Bolderik";"5473PG";"HEESWIJK-DINTHER";"1721";"Bernheze";"Noord-Brabant";"Bo";"Openbaar";"75388";"<5";"11";532,727272727273;"0";0;"0";0;"0";0;"0";0
"20221001";"20230601";"00DN";"00";"De Bundeling";"6241BB";"BUNDE";"938";"Meerssen";"Limburg";"Bo";"Openbaar";"42669";"<5";"0";0;"0";0;"28";198,642857142857;"0";0;"0";0
"20221001";"20230601";"00DO";"00";"INOVA";"3151CJ";"HOEK VAN HOLLAND";"599";"Rotterdam";"Zuid-Holland";"Bo";"Openbaar";"41775";"<5";"0";0;"8";77,125;"0";0;"0";0;"0";0
"20221001";"20230601";"00DW";"00";"De Trompetter";"6986AT";"ANGERLO";"299";"Zevenaar";"Gelderland";"Bo";"Rooms-Katholiek";"77235";"0";"0";0;"0";0;"0";0;"0";0;"28";414,142857142857
"20221001";"20230601";"00DX";"00";"Vrije School Assen";"9404KK";"ASSEN";"106";"Assen";"Drenthe";"Bo";"Antroposofisch";"77456";"0";"0";0;"23";80,5652173913043;"0";0;"0";0;"0";0
"20221001";"20230601";"00DY";"00";"Basisschool het Sterrenlicht";"8084GK";"'T HARDE";"230";"Elburg";"Gelderland";"Bo";"Gereformeerd vrijgemaakt";"41632";"0";"17";528,117647058824;"0";0;"0";0;"0";0;"0";0
"20221001";"20230601";"00DZ";"00";"Agnietenschool";"8081NB";"ELBURG";"230";"Elburg";"Gelderland";"Bo";"Rooms-Katholiek";"40950";"0";"26";537,769230769231;"0";0;"0";0;"0";0;"0";0
"20221001";"20230601";"00EB";"00";"Bs Het Telraam";"5441AK";"OEFFELT";"1982";"Land van Cuijk";"Noord-Brabant";"Bo";"Rooms-Katholiek";"48348";"0";"26";537,423076923077;"0";0;"0";0;"0";0;"0";0
"20221001";"20230601";"00EH";"00";"Speciaal Basisond. De Cirkel";"2907TK";"CAPELLE AAN DEN IJSSEL";"502";"Capelle aan den IJssel";"Zuid-Holland";"Sbo";"Gereformeerd vrijgemaakt";"41646";"<5";"0";0;"0";0;"11";132,727272727273;"0";0;"0";0
"20221001";"20230601";"00EI";"00";"Reform Basisschool";"3286BC";"KLAASWAAL";"1963";"Hoeksche Waard";"Zuid-Holland";"Bo";"Reformatorisch";"30133";"0";"25";532,6;"0";0;"0";0;"0";0;"0";0
"20221001";"20230601";"00EM";"00";"SSBO De Wijngaard";"2992KK";"BARENDRECHT";"489";"Barendrecht";"Zuid-Holland";"Sbo";"Reformatorisch";"42790";"<5";"0";0;"0";0;"0";0;"0";0;"32";354,875
"20221001";"20230601";"00FE";"00";"De Halm";"4286BV";"ALMKERK";"1959";"Altena";"Noord-Brabant";"Bo";"Gereformeerd vrijgemaakt";"41646";"0";"11";535,545454545455;"0";0;"0";0;"0";0;"0";0
"20221001";"20230601";"00FG";"00";"BS De Reflector";"7557KJ";"HENGELO OV";"164";"Hengelo";"Overijssel";"Bo";"Gereformeerd vrijgemaakt";"41624";"0";"10";537,5;"0";0;"0";0;"0";0;"0";0
"20221001";"20230601";"00FI";"00";"Samenw Basisschool Pork";"9561CB";"TER APEL";"1950";"Westerwolde";"Groningen";"Bo";"Algemeen bijzonder";"45000";"0";"0";0;"0";0;"0";0;"0";0;"28";385,142857142857
"20221001";"20230601";"00FQ";"00";"Montessori BS De Kraal";"4691HT";"THOLEN";"716";"Tholen";"Zeeland";"Bo";"Algemeen bijzonder";"30124";"0";"0";0;"12";74,5;"0";0;"0";0;"0";0
"20221001";"20230601";"00GQ";"00";"Rehoboth Basisschool";"2404GM";"ALPHEN AAN DEN RIJN";"484";"Alphen aan den Rijn";"Zuid-Holland";"Bo";"Reformatorisch";"20183";"0";"12";531,666666666667;"0";0;"0";0;"0";0;"0";0
"20221001";"20230601";"00GR";"00";"Kristal";"8181VZ";"HEERDE";"246";"Heerde";"Gelderland";"Bo";"Gereformeerd vrijgemaakt";"41632";"0";"26";535,384615384615;"0";0;"0";0;"0";0;"0";0
"20221001";"20230601";"00GV";"00";"Basisschool Maria-School";"7661RA";"VASSE";"183";"Tubbergen";"Overijssel";"Bo";"Rooms-Katholiek";"50949";"0";"11";536;"0";0;"0";0;"0";0;"0";0
"20221001";"20230601";"00GX";"00";"RK BS St Jacobus";"6675BB";"VALBURG";"1734";"Overbetuwe";"Gelderland";"Bo";"Rooms-Katholiek";"41530";"0";"0";0;"12";84,75;"0";0;"0";0;"0";0
"20221001";"20230601";"00HA";"00";"Ref Basissch Augustinus";"3851BH";"ERMELO";"233";"Ermelo";"Gelderland";"Bo";"Reformatorisch";"30128";"0";"0";0;"0";0;"37";201,918918918919;"0";0;"0";0
"20221001";"20230601";"00HH";"00";"OBS De Vliete";"4491GB";"WISSENKERKE";"1695";"Noord-Beveland";"Zeeland";"Bo";"Openbaar";"41582";"<5";"0";0;"5";79,6;"0";0;"0";0;"0";0
"20221001";"20230601";"00HZ";"00";"Klavertje 4";"3421XL";"OUDEWATER";"589";"Oudewater";"Utrecht";"Bo";"Algemeen bijzonder";"20252";"0";"20";540,5;"<5";NA;"0";0;"0";0;"0";0
"20221001";"20230601";"00IF";"00";"RK BS Heilig Hart";"7666LH";"FLERINGEN";"183";"Tubbergen";"Overijssel";"Bo";"Rooms-Katholiek";"50949";"0";"0";0;"9";78,1111111111111;"0";0;"0";0;"0";0
"20221001";"20230601";"00IH";"00";"De Horizon";"6835HZ";"ARNHEM";"202";"Arnhem";"Gelderland";"Sbo";"Rooms-Katholiek";"40812";"0";"0";0;"0";0;"0";0;"0";0;"18";328,888888888889
"20221001";"20230601";"00IJ";"00";"PC BS De Schaapskooi";"7443HC";"NIJVERDAL";"163";"Hellendoorn";"Overijssel";"Bo";"Protestants-Christelijk";"85600";"0";"27";532,222222222222;"0";0;"0";0;"0";0;"0";0
"20221001";"20230601";"00IM";"00";"Joos v Larensch";"4341ER";"ARNEMUIDEN";"687";"Middelburg";"Zeeland";"Bo";"Reformatorisch";"30145";"0";"20";531,35;"0";0;"0";0;"0";0;"0";0
"20221001";"20230601";"00JH";"00";"SSBO De Kameleon";"7901GK";"HOOGEVEEN";"118";"Hoogeveen";"Drenthe";"Sbo";"Algemeen bijzonder";"41414";"0";"0";0;"0";0;"11";116,636363636364;"0";0;"0";0
"20221001";"20230601";"00JY";"00";"SSBO Kompas";"1784MC";"DEN HELDER";"400";"Den Helder";"Noord-Holland";"Sbo";"Algemeen bijzonder";"30742";"17";"0";0;"0";0;"26";152,307692307692;"0";0;"0";0
"20221001";"20230601";"00KU";"00";"SBO de Windroos";"6545LX";"NIJMEGEN";"268";"Nijmegen";"Gelderland";"Sbo";"Protestants-Christelijk";"29810";"<5";"0";0;"0";0;"42";141,52380952381;"0";0;"0";0
"20221001";"20230601";"00KZ";"00";"SSBO Het Zilverlicht";"5143GH";"WAALWIJK";"867";"Waalwijk";"Noord-Brabant";"Sbo";"Rooms-Katholiek";"71008";"14";"0";0;"0";0;"<5";NA;"16";346,25;"0";0
"20221001";"20230601";"00LS";"00";"SBO Het Palet";"6006AH";"WEERT";"988";"Weert";"Limburg";"Sbo";"Rooms-Katholiek";"50819";"12";"0";0;"0";0;"12";119,166666666667;"0";0;"0";0
"20221001";"20230601";"00MI";"00";"SSBO De Piramide";"5531BX";"BLADEL";"1728";"Bladel";"Noord-Brabant";"Sbo";"Rooms-Katholiek";"44201";"<5";"0";0;"0";0;"29";129,068965517241;"0";0;"0";0
"20221001";"20230601";"00MN";"00";"Chr SSBO De Burcht";"2983AK";"RIDDERKERK";"597";"Ridderkerk";"Zuid-Holland";"Sbo";"Protestants-Christelijk";"80433";"13";"0";0;"0";0;"14";110,5;"0";0;"0";0
"20221001";"20230601";"00MS";"00";"SBO De Oase";"7772CX";"HARDENBERG";"160";"Hardenberg";"Overijssel";"Sbo";"Protestants-Christelijk";"40946";"<5";"0";0;"0";0;"0";0;"19";338,421052631579;"0";0
"20221001";"20230601";"00MY";"00";"De Springplank";"4532BX";"TERNEUZEN";"715";"Terneuzen";"Zeeland";"Sbo";"Algemeen bijzonder";"40876";"<5";"0";0;"0";0;"23";143,173913043478;"0";0;"0";0
"20221001";"20230601";"00NY";"00";"De Geluksvogel SBO";"4691JZ";"THOLEN";"716";"Tholen";"Zeeland";"Sbo";"Algemeen bijzonder";"40876";"0";"0";0;"0";0;"10";141,6;"0";0;"0";0
"20221001";"20230601";"00RX";"00";"SBO Arcadia";"6466HX";"KERKRADE";"928";"Kerkrade";"Limburg";"Sbo";"Rooms-Katholiek";"41516";"5";"0";0;"0";0;"15";120,333333333333;"0";0;"0";0
"20221001";"20230601";"00SQ";"00";"SSBO Focus";"5801AP";"VENRAY";"984";"Venray";"Limburg";"Sbo";"Rooms-Katholiek";"44397";"5";"0";0;"0";0;"13";131,615384615385;"0";0;"0";0
"20221001";"20230601";"00TN";"00";"SSBO Op de Tump";"6097AH";"HEEL";"1641";"Maasgouw";"Limburg";"Sbo";"Algemeen bijzonder";"23961";"0";"0";0;"0";0;"28";118,214285714286;"0";0;"0";0
"20221001";"20230601";"00UE";"00";"SBO De Steenen Kamer";"3332KP";"ZWIJNDRECHT";"642";"Zwijndrecht";"Zuid-Holland";"Sbo";"Algemeen bijzonder";"41417";"6";"30";518,066666666667;"0";0;"0";0;"0";0;"0";0
"20221001";"20230601";"00UI";"00";"SSBO St Michael";"3814RV";"AMERSFOORT";"307";"Amersfoort";"Utrecht";"Sbo";"Rooms-Katholiek";"71488";"7";"26";517,230769230769;"0";0;"0";0;"0";0;"0";0
"20221001";"20230601";"00UN";"00";"Tijstroom";"1503TS";"ZAANDAM";"479";"Zaanstad";"Noord-Holland";"Sbo";"Interconfessioneel";"41251";"19";"10";515,1;"0";0;"0";0;"0";0;"0";0
"20221001";"20230601";"00UY";"00";"SBO Beatrix de Burcht";"4205NK";"GORINCHEM";"512";"Gorinchem";"Zuid-Holland";"Sbo";"Protestants-Christelijk";"41396";"6";"0";0;"0";0;"0";0;"0";0;"15";323,333333333333
"20221001";"20230601";"00VD";"00";"KSSBO";"4876XB";"ETTEN-LEUR";"777";"Etten-Leur";"Noord-Brabant";"Sbo";"Rooms-Katholiek";"55303";"0";"0";0;"0";0;"<5";NA;"0";0;"31";320,709677419355
"20221001";"20230601";"00VW";"00";"De Kameleon";"3351ED";"PAPENDRECHT";"590";"Papendrecht";"Zuid-Holland";"Sbo";"Algemeen bijzonder";"41417";"10";"20";515,9;"0";0;"0";0;"0";0;"0";0
"20221001";"20230601";"00WK";"00";"SSBO De Wingerd";"5431LZ";"CUIJK";"1982";"Land van Cuijk";"Noord-Brabant";"Sbo";"Openbaar";"41443";"0";"0";0;"0";0;"33";115,909090909091;"0";0;"0";0
"20221001";"20230601";"00WO";"00";"SBO";"2566EA";"'S-GRAVENHAGE";"518";"'s-Gravenhage";"Zuid-Holland";"Sbo";"Algemeen bijzonder";"95694";"0";"0";0;"0";0;"19";138,684210526316;"0";0;"0";0
"20221001";"20230601";"00YG";"00";"SBO De Twister";"5961BA";"HORST";"1507";"Horst aan de Maas";"Limburg";"Sbo";"Rooms-Katholiek";"47920";"<5";"0";0;"0";0;"14";146,785714285714;"0";0;"0";0
"20221001";"20230601";"00ZR";"00";"SSBO De Schilderspoort";"6903PZ";"ZEVENAAR";"299";"Zevenaar";"Gelderland";"Sbo";"Algemeen bijzonder";"40901";"22";"0";0;"0";0;"27";128,703703703704;"0";0;"0";0
"20221001";"20230601";"00ZS";"00";"SSBO Elim";"7462TK";"RIJSSEN";"1742";"Rijssen-Holten";"Overijssel";"Sbo";"Protestants-Christelijk";"77196";"0";"0";0;"0";0;"30";124,566666666667;"0";0;"0";0
"20221001";"20230601";"01AC";"00";"SSBO De Driemaster";"8251GP";"DRONTEN";"303";"Dronten";"Flevoland";"Sbo";"Algemeen bijzonder";"61778";"8";"0";0;"0";0;"8";149,625;"0";0;"0";0
"20221001";"20230601";"01AK";"00";"SSBO Johan Seckel";"7731BL";"OMMEN";"175";"Ommen";"Overijssel";"Sbo";"Protestants-Christelijk";"62181";"11";"0";0;"<5";NA;"24";134,041666666667;"0";0;"0";0
"20221001";"20230601";"01BO";"00";"SSBO Toermalijn";"7822EM";"EMMEN";"114";"Emmen";"Drenthe";"Sbo";"Rooms-Katholiek";"45000";"0";"0";0;"0";0;"18";114,722222222222;"0";0;"0";0
"20221001";"20230601";"01CE";"00";"SSBO De Twine";"9101AB";"DOKKUM";"1970";"Noardeast-FryslÃn";"Friesland";"Sbo";"Protestants-Christelijk";"40788";"0";"0";0;"0";0;"44";115,568181818182;"0";0;"0";0
"20221001";"20230601";"01CX";"00";"SSBO De Vonder";"7776BE";"SLAGHAREN";"160";"Hardenberg";"Overijssel";"Sbo";"Rooms-Katholiek";"40888";"<5";"<5";NA;"0";0;"0";0;"0";0;"18";311,333333333333
"20221001";"20230601";"01DM";"00";"SSBO Het Mozaiek";"6135GC";"SITTARD";"1883";"Sittard-Geleen";"Limburg";"Sbo";"Rooms-Katholiek";"83280";"0";"0";0;"0";0;"0";0;"35";341,485714285714;"0";0
"20221001";"20230601";"01FJ";"00";"SSBO De Prinsenhof";"7316DK";"APELDOORN";"200";"Apeldoorn";"Gelderland";"Sbo";"Protestants-Christelijk";"72464";"6";"<5";NA;"0";0;"12";123,833333333333;"0";0;"0";0
"20221001";"20230601";"01FN";"00";"SSBO SAM, loc Boddens Hosang";"7002JA";"DOETINCHEM";"222";"Doetinchem";"Gelderland";"Sbo";"Algemeen bijzonder";"40631";"9";"0";0;"0";0;"27";128,296296296296;"0";0;"0";0
"20221001";"20230601";"01GE";"00";"SSBO De Horst";"6101NM";"ECHT";"1711";"Echt-Susteren";"Limburg";"Sbo";"Algemeen bijzonder";"83280";"5";"0";0;"0";0;"28";127,464285714286;"0";0;"0";0
"20221001";"20230601";"01GQ";"00";"RK SSBO Carolus";"6561AR";"GROESBEEK";"1945";"Berg en Dal";"Gelderland";"Sbo";"Rooms-Katholiek";"42486";"0";"0";0;"0";0;"14";126,5;"0";0;"0";0
"20221001";"20230601";"01JQ";"00";"De Windvang";"2221CE";"KATWIJK ZH";"537";"Katwijk";"Zuid-Holland";"Sbo";"Protestants-Christelijk";"41008";"0";"0";0;"0";0;"24";120,041666666667;"0";0;"0";0
"20221001";"20230601";"01JW";"00";"SBO De Kristal";"3607TC";"MAARSSEN";"1904";"Stichtse Vecht";"Utrecht";"Sbo";"Algemeen bijzonder";"41879";"0";"0";0;"0";0;"26";135,5;"0";0;"0";0
"20221001";"20230601";"01KJ";"00";"De Keerkring";"3443EJ";"WOERDEN";"632";"Woerden";"Utrecht";"Sbo";"Algemeen bijzonder";"70002";"9";"0";0;"0";0;"33";115,69696969697;"0";0;"0";0
"20221001";"20230601";"01KY";"00";"SSBO De Baldakijn";"9501TJ";"STADSKANAAL";"37";"Stadskanaal";"Groningen";"Sbo";"Algemeen bijzonder";"41358";"<5";"0";0;"0";0;"40";119,725;"0";0;"0";0
"20221001";"20230601";"01KZ";"00";"SBO";"7681ZN";"VROOMSHOOP";"1700";"Twenterand";"Overijssel";"Sbo";"Protestants-Christelijk";"61751";"7";"15";510,133333333333;"0";0;"0";0;"0";0;"0";0
"20221001";"20230601";"01LP";"00";"Expertisecluster Nexus";"1701AA";"HEERHUGOWAARD";"1980";"Dijk en Waard";"Noord-Holland";"Sbo";"Algemeen bijzonder";"41008";"<5";"0";0;"0";0;"24";118,916666666667;"0";0;"0";0
"20221001";"20230601";"01ST";"00";"Rehoboth SBO, Ochten";"4051KA";"OCHTEN";"1740";"Neder-Betuwe";"Gelderland";"Sbo";"Reformatorisch";"84515";"0";"0";0;"0";0;"0";0;"0";0;"14";345,214285714286
"20221001";"20230601";"01UR";"00";"IKEC-Hoorn";"1624EH";"HOORN NH";"405";"Hoorn";"Noord-Holland";"Sbo";"Algemeen bijzonder";"42635";"25";"36";513,611111111111;"0";0;"0";0;"0";0;"0";0
"20221001";"20230601";"01VE";"00";"GBS De Bron";"3771CS";"BARNEVELD";"203";"Barneveld";"Gelderland";"Bo";"Gereformeerd vrijgemaakt";"40945";"0";"27";537,111111111111;"0";0;"0";0;"0";0;"0";0
"20221001";"20230601";"01VF";"00";"SBO Professor Dumont";"1107NG";"AMSTERDAM";"363";"Amsterdam";"Noord-Holland";"Sbo";"Algemeen bijzonder";"77690";"19";"13";516,692307692308;"0";0;"0";0;"0";0;"0";0
"20221001";"20230601";"01VG";"00";"Jenaplansch T Vlot";"9602KZ";"HOOGEZAND";"1952";"Midden-Groningen";"Groningen";"Bo";"Algemeen bijzonder";"40865";"0";"0";0;"8";88,125;"0";0;"0";0;"0";0
"20221001";"20230601";"01VG";"01";"Peter Petersenschool";"9751SL";"HAREN GN";"14";"Groningen";"Groningen";"Bo";"Algemeen bijzonder";"40865";"0";"0";0;"25";83,28;"0";0;"0";0;"0";0
"20221001";"20230601";"01VI";"00";"De Parkschool";"3813LW";"AMERSFOORT";"307";"Amersfoort";"Utrecht";"Bo";"Protestants-Christelijk";"30010";"0";"0";0;"22";85,3636363636364;"0";0;"0";0;"0";0
"20221001";"20230601";"01VQ";"00";"Rk Bs Beekvliet";"1991ET";"VELSERBROEK";"453";"Velsen";"Noord-Holland";"Bo";"Rooms-Katholiek";"40257";"0";"0";0;"47";79,0212765957447;"0";0;"0";0;"0";0
"20221001";"20230601";"01VR";"00";"Montessorischool";"2912CR";"NIEUWERKERK AD IJSSEL";"1892";"Zuidplas";"Zuid-Holland";"Bo";"Algemeen bijzonder";"41226";"0";"0";0;"29";85;"0";0;"0";0;"0";0
"20221001";"20230601";"01VY";"00";"Basissch De Lingewaard";"4241CA";"ARKEL";"1978";"Molenlanden";"Zuid-Holland";"Bo";"Openbaar";"41638";"<5";"0";0;"48";80,7083333333333;"0";0;"0";0;"0";0
"20221001";"20230601";"01WQ";"00";"De Rank - school met de Bijbel";"9301KE";"RODEN";"1699";"Noordenveld";"Drenthe";"Bo";"Gereformeerd vrijgemaakt";"42607";"0";"0";0;"0";0;"19";210,157894736842;"0";0;"0";0
"20221001";"20230601";"01WU";"00";"Vrije Sch De Regenboog";"5643CJ";"EINDHOVEN";"772";"Eindhoven";"Noord-Brabant";"Bo";"Antroposofisch";"30027";"0";"0";0;"53";81,8301886792453;"0";0;"0";0;"0";0
"20221001";"20230601";"01XH";"00";"Basisschool De Ammers";"2964CC";"GROOT-AMMERS";"1978";"Molenlanden";"Zuid-Holland";"Bo";"Openbaar";"41638";"0";"0";0;"23";76,2608695652174;"0";0;"0";0;"0";0
"20221001";"20230601";"01XT";"00";"De Balans Chr. Sch. v. SBO";"2901CL";"CAPELLE AAN DEN IJSSEL";"502";"Capelle aan den IJssel";"Zuid-Holland";"Sbo";"Protestants-Christelijk";"43227";"6";"0";0;"0";0;"14";135,142857142857;"0";0;"0";0
"20221001";"20230601";"01XU";"00";"Hildegaertschool";"3055TE";"ROTTERDAM";"599";"Rotterdam";"Zuid-Holland";"Bo";"Protestants-Christelijk";"40774";"<5";"56";536,178571428571;"0";0;"0";0;"0";0;"0";0
"20221001";"20230601";"01ZA";"00";"SSBO De Wissel";"4002AZ";"TIEL";"281";"Tiel";"Gelderland";"Sbo";"Algemeen bijzonder";"41876";"<5";"0";0;"0";0;"0";0;"0";0;"24";316,291666666667
"20221001";"20230601";"02AJ";"00";"Chr SSBO De Vogelhorst";"3772TX";"BARNEVELD";"203";"Barneveld";"Gelderland";"Sbo";"Protestants-Christelijk";"25897";"6";"0";0;"0";0;"33";117,424242424242;"0";0;"0";0
"20221001";"20230601";"02BJ";"00";"Aquamarijn";"8918CT";"LEEUWARDEN";"80";"Leeuwarden";"Friesland";"Sbo";"Protestants-Christelijk";"40636";"8";"<5";NA;"0";0;"39";125,74358974359;"0";0;"0";0
"20221001";"20230601";"02CO";"00";"Chr SSBO De Wegwijzer";"3241AD";"MIDDELHARNIS";"1924";"Goeree-Overflakkee";"Zuid-Holland";"Sbo";"Protestants-Christelijk";"42632";"0";"0";0;"0";0;"13";164;"0";0;"0";0
"20221001";"20230601";"02CQ";"00";"SSBO De Vlinderboom";"6681BN";"BEMMEL";"1705";"Lingewaard";"Gelderland";"Sbo";"Rooms-Katholiek";"71956";"12";"0";0;"0";0;"0";0;"0";0;"27";343,62962962963
"20221001";"20230601";"02CX";"00";"SSBO Koningin Emma";"3861LT";"NIJKERK GLD";"267";"Nijkerk";"Gelderland";"Sbo";"Protestants-Christelijk";"41671";"12";"0";0;"0";0;"12";123,666666666667;"0";0;"0";0
"20221001";"20230601";"02EG";"00";"SBO De Fontein";"5981DS";"PANNINGEN";"1894";"Peel en Maas";"Limburg";"Sbo";"Rooms-Katholiek";"47959";"0";"0";0;"0";0;"16";121,6875;"0";0;"0";0
"20221001";"20230601";"02EH";"00";"De Zeearend";"1945NC";"BEVERWIJK";"375";"Beverwijk";"Noord-Holland";"Sbo";"Algemeen bijzonder";"41008";"9";"0";0;"0";0;"14";121,714285714286;"0";0;"0";0
"20221001";"20230601";"02FI";"00";"SBO De Diamant";"2671GM";"NAALDWIJK";"1783";"Westland";"Zuid-Holland";"Sbo";"Protestants-Christelijk";"41454";"24";"0";0;"48";57,3333333333333;"0";0;"0";0;"0";0
"20221001";"20230601";"02NY";"00";"De Klaproos";"6815EC";"ARNHEM";"202";"Arnhem";"Gelderland";"Sbo";"Samenwerking PC, RK";"41645";"12";"0";0;"0";0;"<5";NA;"0";0;"18";343,388888888889
"20221001";"20230601";"02RC";"00";"SSBO De Driemaster";"4615BP";"BERGEN OP ZOOM";"748";"Bergen op Zoom";"Noord-Brabant";"Sbo";"Rooms-Katholiek";"40517";"23";"0";0;"0";0;"16";125,0625;"0";0;"0";0
"20221001";"20230601";"02RQ";"00";"RK SSBO De Aventurijn";"1132XS";"VOLENDAM";"385";"Edam-Volendam";"Noord-Holland";"Sbo";"Rooms-Katholiek";"72853";"<5";"0";0;"16";57,875;"0";0;"0";0;"0";0
"20221001";"20230601";"02RS";"00";"SBO De Blinker";"6166XM";"GELEEN";"1883";"Sittard-Geleen";"Limburg";"Sbo";"Algemeen bijzonder";"83280";"29";"0";0;"0";0;"0";0;"27";346,703703703704;"0";0
"20221001";"20230601";"02RT";"00";"KC SBO Petrus Donders";"5421HB";"GEMERT";"1652";"Gemert-Bakel";"Noord-Brabant";"Sbo";"Rooms-Katholiek";"32580";"7";"0";0;"32";57,5;"0";0;"0";0;"0";0
"20221001";"20230601";"02RU";"00";"SBO";"6591DM";"GENNEP";"907";"Gennep";"Limburg";"Sbo";"Rooms-Katholiek";"37663";"0";"0";0;"0";0;"29";122,275862068966;"0";0;"0";0
"20221001";"20230601";"02SG";"00";"SBO De Toermalijn";"5702PW";"HELMOND";"794";"Helmond";"Noord-Brabant";"Sbo";"Rooms-Katholiek";"30240";"13";"0";0;"0";0;"23";144,869565217391;"0";0;"0";0
"20221001";"20230601";"02SO";"00";"Don Boscoschool";"2162VW";"LISSE";"553";"Lisse";"Zuid-Holland";"Sbo";"Rooms-Katholiek";"41008";"0";"0";0;"0";0;"25";125,68;"0";0;"0";0
"20221001";"20230601";"02TL";"00";"De Dolfijn";"1422WX";"UITHOORN";"451";"Uithoorn";"Noord-Holland";"Sbo";"Rooms-Katholiek";"41008";"7";"0";0;"0";0;"33";130,060606060606;"0";0;"0";0
"20221001";"20230601";"02WC";"00";"Nieuw Hessen";"7121MG";"AALTEN";"197";"Aalten";"Gelderland";"Sbo";"Protestants-Christelijk";"41787";"0";"0";0;"0";0;"20";139,75;"0";0;"0";0
